GenBank_accession	GISAID_isolate_ID	Sequence_ID	Organism	country	host	isolate	collection-date	isolation-source	serotype	strain	subclade
ON716394	EPI_ISL_13295137	c18MKAP189_N6	Influenza A virus	Cambodia	Duck	c18MKAP189	13/12/2018	Cloacal swab	H5N6	A/duck/Cambodia/c18MKAP189/2018(H5N6)	2.3.4.4h
ON716433	EPI_ISL_13295137	c18MKAP189_HA	Influenza A virus	Cambodia	Duck	c18MKAP189	13/12/2018	Cloacal swab	H5N6	A/duck/Cambodia/c18MKAP189/2018(H5N6)	2.3.4.4h
ON716327	EPI_ISL_13295066	c9T241C17T_PB2	Influenza A virus	Cambodia	Chicken	c9T241C17T	29/1/2019	Tracheal swab	H5N6	A/chicken/Cambodia/c9T241C17T/2019(H5N6)	2.3.4.4h
ON716294	EPI_ISL_13295066	c9T241C17T_PB1	Influenza A virus	Cambodia	Chicken	c9T241C17T	29/1/2019	Tracheal swab	H5N6	A/chicken/Cambodia/c9T241C17T/2019(H5N6)	2.3.4.4h
ON716347	EPI_ISL_13295066	c9T241C17T_PA	Influenza A virus	Cambodia	Chicken	c9T241C17T	29/1/2019	Tracheal swab	H5N6	A/chicken/Cambodia/c9T241C17T/2019(H5N6)	2.3.4.4h
ON716363	EPI_ISL_13295066	c9T241C17T_NS	Influenza A virus	Cambodia	Chicken	c9T241C17T	29/1/2019	Tracheal swab	H5N6	A/chicken/Cambodia/c9T241C17T/2019(H5N6)	2.3.4.4h
ON716376	EPI_ISL_13295066	c9T241C17T_NP	Influenza A virus	Cambodia	Chicken	c9T241C17T	29/1/2019	Tracheal swab	H5N6	A/chicken/Cambodia/c9T241C17T/2019(H5N6)	2.3.4.4h
ON716393	EPI_ISL_13295066	c9T241C17T_N6	Influenza A virus	Cambodia	Chicken	c9T241C17T	29/1/2019	Tracheal swab	H5N6	A/chicken/Cambodia/c9T241C17T/2019(H5N6)	2.3.4.4h
ON716408	EPI_ISL_13295066	c9T241C17T_MP	Influenza A virus	Cambodia	Chicken	c9T241C17T	29/1/2019	Tracheal swab	H5N6	A/chicken/Cambodia/c9T241C17T/2019(H5N6)	2.3.4.4h
ON716432	EPI_ISL_13295066	c9T241C17T_HA	Influenza A virus	Cambodia	Chicken	c9T241C17T	29/1/2019	Tracheal swab	H5N6	A/chicken/Cambodia/c9T241C17T/2019(H5N6)	2.3.4.4h
